country name;country code;metric;metric code;year;value
Bahrain;BHR;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;0
Bahrain;BHR;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Bahrain;BHR;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Bahrain;BHR;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Bahrain;BHR;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Bangladesh;BGD;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;473.444821021085
Bangladesh;BGD;Gini index;SI.POV.GINI;1990;
Bangladesh;BGD;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Bangladesh;BGD;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;0.132268282350573
Bangladesh;BGD;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;71.7
Bangladesh;BGD;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;1.51911997795105
Bangladesh;BGD;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Bangladesh;BGD;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Bangladesh;BGD;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Barbados;BRB;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;17426.9351835134
Barbados;BRB;Gini index;SI.POV.GINI;1990;
Barbados;BRB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Barbados;BRB;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;2.38067614915191
Barbados;BRB;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;17.5
Barbados;BRB;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Barbados;BRB;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Barbados;BRB;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Barbados;BRB;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Belarus;BLR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;2888.81907069821
Belarus;BLR;Gini index;SI.POV.GINI;1990;
Belarus;BLR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
